N;NOM;PRENOMS;niveau;FORMATION;DATE_INSCRIPTION;MONTANT_global;STATUT_DE_PAIEMENT;ANNEE_ACADEMIQUE
1;DIOP;Aissatou;L1;Gestion des entreprises;21/05/2023;125000;Cas régulier;2023-2024
2;KANE;Cheikh;L1;Hotellerie et Restauration;27/05/2023;200000;Cas régulier;2023-2024
3;TOURE;Ibrahima;L1;Douane transit;14/11/2023;40000;Boursière MDD;2023-2024
4;SENE;Moussa;L1;Hotellerie et Restauration;18/11/2023;200000;Cas régulier;2023-2024
5;SALL;Fatou;L1;Douane transit;24/10/2023;40000;Boursière MDD;2023-2024
6;SENE;Moussa;L1;Comptabilité Gestion;01/06/2023;40000;Boursière MDD;2023-2024
7;GUEYE;Aminata;L1;Comptabilité;13/04/2023;200000;Cas régulier;2023-2024
8;DIENG;Rokhaya;L1;Hotellerie et Restauration;20/05/2023;200000;Cas régulier;2023-2024
9;SALL;Khadija;L1;Comptabilité Gestion;23/06/2023;225000;Cas régulier;2023-2024
10;NDIAYE;Aminata;L1;Comptabilité;26/04/2023;40000;Boursière MDD;2023-2024
11;DIENG;Omar;L1;Commerce International;16/02/2023;40000;Boursière MDD;2023-2024
12;DIOP;Khadija;L1;Hotellerie et Restauration;02/10/2023;225000;Cas régulier;2023-2024
13;FALL;Khadija;L1;Comptabilité et Gestion;27/10/2023;40000;Boursière MDD;2023-2024
14;FALL;Moussa;L1;Comptabilité Gestion;12/12/2023;225000;Cas régulier;2023-2024
15;DIOP;Mamadou;L1;Commerce International;15/10/2023;40000;Boursière MDD;2023-2024
16;KANE;Ibrahima;L1;Comptabilité et Gestion;28/11/2023;225000;Cas régulier;2023-2024
17;DIALLO;Aissatou;L1;Transport Logistique;01/03/2023;125000;Cas régulier;2023-2024
18;DIOP;Khadija;L1;Comptabilité;10/09/2023;125000;Cas régulier;2023-2024
19;TOURE;Rokhaya;L1;Comptabilité Gestion;11/03/2023;40000;Boursière MDD;2023-2024
